pm10,pm25,so2,co,o3,no2,categori
65,101,24,19,19,41,TIDAK SEHAT
57,79,24,11,25,26,SEDANG
63,92,25,14,26,30,SEDANG
56,83,25,12,21,30,SEDANG
63,87,24,19,14,37,SEDANG
54,81,25,14,23,40,SEDANG
66,99,25,16,21,42,SEDANG
66,99,23,18,30,40,SEDANG
63,86,24,15,17,36,SEDANG
56,79,26,10,22,24,SEDANG
62,94,26,12,23,28,SEDANG
54,77,21,15,21,34,SEDANG
57,71,23,17,18,38,SEDANG
61,84,23,18,20,42,SEDANG
22,38,28,9,43,10,BAIK
39,57,34,11,42,13,SEDANG
23,51,33,9,57,10,SEDANG
63,80,40,17,49,23,SEDANG
54,69,30,13,59,18,SEDANG
43,61,32,10,36,15,SEDANG
30,52,33,9,43,8,SEDANG
39,57,34,10,40,14,SEDANG
53,64,32,10,49,25,SEDANG
44,61,34,9,50,19,SEDANG
54,72,42,12,60,22,SEDANG
69,93,51,20,54,23,SEDANG
70,82,63,14,64,21,SEDANG
65,81,55,16,65,22,SEDANG
67,85,55,21,50,34,SEDANG
69,94,55,17,50,28,SEDANG
---,107,52,---,41,22,TIDAK SEHAT
64,94,52,---,55,18,SEDANG
76,101,56,16,50,22,TIDAK SEHAT
63,92,52,11,60,14,SEDANG
75,101,51,15,65,20,TIDAK SEHAT
88,115,61,17,73,25,TIDAK SEHAT
74,101,55,15,58,20,TIDAK SEHAT
64,87,52,10,59,14,SEDANG
74,97,51,11,65,17,SEDANG
61,81,51,13,56,18,SEDANG
69,85,60,15,44,26,SEDANG
71,91,57,14,55,21,SEDANG
28,52,26,5,35,7,SEDANG
51,70,33,8,37,10,SEDANG
30,52,27,7,---,14,SEDANG
68,103,29,28,---,28,TIDAK SEHAT
61,85,30,11,---,17,SEDANG
35,51,32,3,34,5,SEDANG
25,35,27,3,---,4,BAIK
31,52,28,5,---,7,SEDANG
55,76,26,8,---,10,SEDANG
64,101,25,16,---,18,TIDAK SEHAT
62,89,25,14,---,21,SEDANG
---,69,27,15,---,16,SEDANG
47,65,31,11,---,18,SEDANG
48,67,31,10,---,19,SEDANG
48,69,26,16,33,19,SEDANG
52,72,27,14,32,22,SEDANG
61,93,---,12,39,20,SEDANG
55,82,---,8,---,14,SEDANG
---,92,22,9,36,18,SEDANG
50,75,19,7,32,14,SEDANG
58,93,19,13,27,17,SEDANG
57,83,20,8,39,14,SEDANG
70,100,20,11,32,16,SEDANG
57,73,19,9,41,15,SEDANG
59,88,19,13,27,19,SEDANG
57,84,19,10,26,16,SEDANG
64,104,13,9,34,16,TIDAK SEHAT
51,80,11,9,32,16,SEDANG
39,23,10,12,26,17,BAIK
54,23,12,10,---,18,SEDANG
22,49,41,7,18,12,BAIK
37,62,44,11,18,12,SEDANG
39,67,42,9,22,14,SEDANG
64,103,43,26,23,20,TIDAK SEHAT
52,80,43,14,23,16,SEDANG
30,50,43,6,15,10,BAIK
22,38,42,5,16,8,BAIK
24,55,48,8,14,10,SEDANG
42,63,43,8,21,13,SEDANG
61,90,43,15,27,21,SEDANG
66,108,47,18,35,24,TIDAK SEHAT
57,92,43,18,27,17,SEDANG
52,78,44,13,31,20,SEDANG
52,79,42,13,31,14,SEDANG
55,87,42,27,25,27,SEDANG
61,90,42,17,21,20,SEDANG
63,109,43,20,27,19,TIDAK SEHAT
57,82,42,16,---,16,SEDANG
58,94,46,12,---,19,SEDANG
56,90,45,10,34,17,SEDANG
